CaseID,Organization,Use Case Title,Description,Org Industry,Use Case Industry,Subindustry Tags,Use Case Domain,Tool/Technology,Outcomes & Benefits,Source URL,Source,From,Reason Excluded,Status
aicase-x0201,ESCIENCE,"Philippine-founded independent software vendor solidified its business operations on AWS, ensuring seamless scalability and uninterrupted service for accelerated revenue growth.",,,,,,,,https://aws.amazon.com/solutions/case-studies/escience/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0202,Essent,"Essent is the largest energy company in the Netherlands, providing electricity, gas, heat, and other energy services to more than four million customers. The company, an innovator in energy efficiency, created smart meters to help customers monitor how much energy they consume.",,,,,,,,https://aws.amazon.com/solutions/case-studies/essent/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0203,Esure,Esure Group has transformed its customer experience and increased innovation by building a cloud-native platform on AWS. They wanted flexible technology to support agility and the cost efficiency needed to succeed in a competitive insurance market.,,,,,,,,https://aws.amazon.com/solutions/case-studies/esure/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0204,Euronics,"Electronics retailer Euronics Hungary worked alongside AWS Partner TC2 to migrate its SAP workloads to AWS, improving its business continuity and the security, reliability, and scalability of its systems.",,,,,,,,https://aws.amazon.com/solutions/case-studies/euronics?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0205,European League of Football,"The European League of Football wanted to change the way it brought matches to the viewing public. Just 3 months before the start of the new American football season it decided to shift to remote production. It looked to Amazon Web Services (AWS) to help it make this transition. Moving from labor-intensive on-site production that relied on a team of thousands, it was able to centralize production from its Munich office and produce 69 of its 99 league matches remotely. Using AWS, the organization is increasing efficiency without compromising quality, says chief commercial officer Marcel Mohaupt. Itâ€™s also driving sustainabilityâ€”reducing its carbon footprint by 300 tons to date.",,,,,,,,https://aws.amazon.com/solutions/case-studies/european-league-of-football-sustainability/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0206,Eurovision,The Coronation of Elizabeth II was the first event to be broadcast live internationally by Eurovison Services. Learn from Alexander Rose how technology has evolved since then and which role AWS Services play in live video broadcasting today.,,,,,,,,https://youtu.be/eFQNwelGLhA,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0207,Expedia,"In this session, learn how leaders that focus on cultivating a cloud-ready culture can help their organizations become more innovative.",,,,,,,,https://www.youtube.com/watch?v=2g2PvPmPuQM,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0208,"Expedia, Inc.","Sandeep from Expedia will explain how they built scalable & flexible system to ingest high data Volume both real time & batch leveraging AWS platform & services. You will learn how Amazon Glue and Amazon EC2 helped ingesting & transforming heterogenous data, use bookmark capabilities of Glue & push data to Centralized S3 Data Lake. You will also learn how Amazon Dynamo and Amazon ECS helped ingesting real time data & loading into RDS Aurora along with monitoring & alerting using Cloud watch . You will also learn how Expedia systems and Salesforce platform integrate using the power of the AWS platform with seamless experience to users.",,,,,,,,https://youtu.be/f5EJBUfGZtw,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0209,"Explore.org, Bigmate",Livestreaming powered by the cloud is a valuable tool to help us understand nature and protect it.,,,,,,,,https://aws.amazon.com/podcasts/id-2020-10-16t202229526z/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0210,Fair Trade,Fair Trade USA uses AWS to improve working conditions for farmers.,,,,,,,,https://aws.amazon.com/blogs/publicsector/how-fair-trade-usa-uses-aws-to-improve-working-conditions-for-farmers/,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0211,Fairbrics,Fairbrics is accelerating the design of sustainable fabrics out of thin air (carbon dioxide) using Amazon EC2 Hpc7g Instances.,,,,,,,,https://aws.amazon.com/solutions/case-studies/fairbrics-ec2-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0212,FavBet Tech,FAVBET Tech develops software that is used by millions of players around the world. FAVBET Tech develop innovations in the field of gambling and betting through a complex multi-component platform which is capable to withstand enormous loads and provide a unique experience for players.,,,,,,,,https://aws.amazon.com/solutions/case-studies/favbet?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0213,Fineos,"FINEOS provides software solutions to the employee benefits and life, accident, and health industry. Data protection is vital to the company and its global insurance customers. Using Amazon Web Services (AWS), as Jonathan Boylan, chief technology officer says, FINEOS can confidently handle sensitive data in North America, Europe, and Asia-Pacific, adhering to local compliance regulations. With the scale and security of the cloud, the business is pushing boundaries and delivering new solutions to insurers.",,,,,,,,https://aws.amazon.com/solutions/case-studies/fineos-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0214,First Orion,"Discover how First Orion leverages AWS Incident Detection and Response (IDR) to identify inefficiencies, prevent problems before they occur, and maintain seamless operations. See why they consider the AWS Support team an extension of their own organization, providing crucial support for their scaling needs and operational challenges.",,,,,,,,https://www.youtube.com/watch?v=rSONdGpVe-A,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0215,FirstCry,"With Amazon Redshift and zero-ETL, Firstcry now moves terabytes of data seamlessly in minutesâ€”reducing manpower needs from 10-12 people to just one. This near real-time data accuracy (98-99%) empowers operations teams to make informed decisions, boosting efficiency and user satisfaction. By leveraging AWS, Firstcry has transformed its data management, ensuring a seamless, scalable, and reliable experience for both its team and customers.",,,,,,,,https://www.youtube.com/watch?v=sZbzeYYvbKQ,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0216,Fiverr International LTD,"Moshe from Fiverr describes the journey to achieving PCI DSS compliance for his companyâ€™s payments processing system. By relying on AWS services that are PCI-compliant and simplifying the design, Fiverr has reduced its architecture in order to minimize both operational and compliance overhead.",,,,,,,,https://youtu.be/phN08pi3YzY,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0217,Fleet Complete,"Fleet Complete uses AWS to help fleet owners cut costs and reduce vehicle downtime, as well as expand its business faster by supporting more than 50 million requests daily. The company is able to launch innovative solutions quicker and release software updates faster than before. Based in Ontario, the company provides fleet, asset, and mobile workforce management solutions in the connected commercial vehicle space. Fleet Complete runs CONNVEX, its big data and analytics platform, on the AWS Cloud.",,,,,,,,https://aws.amazon.com/fr/solutions/case-studies/fleet-complete-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0218,Flo Health,"Flo Health is the number one womenâ€™s health app in both the Android and Apple app stores with 120 million installs and 31 million monthly active users. Using AWS, Flo releases four times more updates than with its previous infrastructure and maintains a lean engineering team while growing app functionality and performance.",,,,,,,,https://aws.amazon.com/ru/solutions/case-studies/flo/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0219,Fluid Attacks,"Cybersecurity provider Fluid Attacks cut costs by 70 percent with AWS Graviton and Amazon EC2 Spot instances, freeing up resources to focus on new research and sustainable growth.",,,,,,,,https://aws.amazon.com/solutions/case-studies/fluid-attacks-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0220,Flywire,Payment software company Flywire modernized its cloud environment using Amazon ECS with AWS Fargate.,,,,,,,,https://aws.amazon.com/solutions/case-studies/flywire-ecs-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0221,Focal Forensics,Media forensic services provider Focal Forensics strengthened the security of its communications and file sharing using AWS Wickr.,,,,,,,,https://aws.amazon.com/solutions/case-studies/focal-forensics-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0222,Forex Forest,"Forex Forest gains significant savings on server costs to power automated trades by adopting Amazon EC2 Auto Scaling, while driving expansion through global compliance. Lowers Cost of Algorithmic Trading by 70% Using AWS",,,,,,,,https://aws.amazon.com/solutions/case-studies/case-study-forex-forest/,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0223,Formula One,"Formula 1 (F1), a global sports and entertainment spectacle, offers modern apps, games, and experiences to directly engage with its fans. But these products operated in silos with little near real-time (NRT) integration, so it was difficult for F1 to understand its fans and create great customer experiences. To unlock the full potential of its global fan base, F1 chose to build a technical infrastructure using tools from Amazon Web Services (AWS) and Salesforce, an AWS Partner.",,,,,,,,https://aws.amazon.com/solutions/case-studies/formula-one-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0224,Fortive,"Industrial conglomerate Fortive built an efficient, agile wide area network using AWS Cloud WAN.",,,,,,,,https://aws.amazon.com/solutions/case-studies/fortive-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0225,Foursquare,"Foursquare, a geospatial technology company, modernized their data analytics applications and reduced costs and operational overhead using Amazon EMR Serverless.",,,,,,,,https://aws.amazon.com/solutions/case-studies/foursquare-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0226,Fred Hutch,"Using Amazon Web Services (AWS) and open-source software, Fred Hutch built a single, user-friendly, browser-based solution, Motuz, to streamline and simplify upload of large quantities of data.",,,,,,,,https://aws.amazon.com/blogs/publicsector/how-fred-hutch-unlocks-siloed-data-open-source-software/?hp=tile&tile=customerstories&refid=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0227,"Freedom Seal, Unseen UK",The team continues the conversation on how technology can be leveraged to end human trafficking.,,,,,,,,https://aws.amazon.com/podcasts/06-quest-to-end-modern-slavery/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0228,Froedtert & Medical College of Wisconsin,Froedtert & the Medical College of Wisconsin health network is transforming the patient experience using AWS.,,,,,,,,https://aws.amazon.com/solutions/case-studies/froedtert-mcw-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0229,Fujitsu,Fujitsu General increased the number of air conditioners connected to its IoT platform by 250% by giving them smart capabilities with AWS.,,,,,,,,https://aws.amazon.com/solutions/case-studies/fujitsu-general-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0230,Fujitsu Limited,"Fujitsu used AWS Lake Formation to build OneData, a centralized, company-wide data use solution with daily updates for data-driven decision-making across 140 departments.",,,,,,,,https://aws.amazon.com/solutions/case-studies/fujitsu-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0231,FXGT.com,"When people are trading on financial markets through an app or a website, they want to know that they can trust the service to be fast, reliable, and secure. Online broker FXGT.com knew its customers deserved a high level of service in these areas, so it migrated to Amazon Web Services (AWS) to increase its scalability, availability, and performance. To handle its data analytics, the company adopted Amazon Redshift, which uses SQL to analyze structured and semistructured data across data warehouses, databases, and data lakes.",,,,,,,,https://aws.amazon.com/solutions/case-studies/fxgt-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0232,Fyber,"Fyber runs Apache Spark on Kubernetes using Amazon EKS. Scheduled by Airflow, Fyber cost-optimized its EC2 costs using Spot Instances, which are provisioned and managed by AWS Technology Partner Spotinst.",,,,,,,,https://youtu.be/lHM96P5kP2k,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0233,G+J Uitgevers,"G+J Uitgevers publishes successful media brands, like National Geographic and Vogue, for viewers in the Netherlands and Belgium. The company uses AWS to host all its websites, effectively managing traffic spikes, decreasing overall hosting costs by 20 percent, and decreasing time to market by 95 percent.",,,,,,,,https://aws.amazon.com/solutions/case-studies/g-plus-j-uitgevers/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0234,GA-Hartsfieldâ€“Jackson Atlanta International Airport / ATLANTA,"Hartsfield-Jackson Atlanta International Airport migrated to the cloud and increased agility, scalability, and innovation in managing its complex operations.",,,,,,,,https://aws.amazon.com/solutions/case-studies/hartsfield-jackson-atlanta-airport-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0235,Games24x7,"Games24x7 used AWS Backup to enhance its disaster recovery, scaling its backup data by four times and achieving a recovery point objective of 1 hour and a recovery time objective of 30 minutes.",,,,,,,,https://aws.amazon.com/solutions/case-studies/games24x7-backup-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0236,Games24x7,Find out how Indiaâ€™s leading online gaming company utilized AWS Cloud Security for data protection and early threat detection.,,,,,,,,https://aws.amazon.com/solutions/case-studies/games24x7-case-study-2024/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0237,GE Aerospace,"GE Aerospace needed to migrate the large and complex operational data store (ODS) data platform for its supply chain division to meet compliance requirements, achieve stability, and enhance performance. The ODS application is a solution for operational reports, transactional data reporting, and analytics focused on near real-time reporting. GE Aerospace used Amazon Web Services (AWS) to resolve its ODS challenges and save hundreds of thousands of dollars in yearly costs.",,,,,,,,https://aws.amazon.com/solutions/case-studies/ge-aerospace-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0238,GE Appliances,"Using AWS services, GE Renewable Energy has created a data lake where it collects and analyzes machine data captured at GE wind turbines around the world. GE relies on Amazon Simple Storage Service (Amazon S3) to store and protect its ever-expanding collection of wind turbine data and Amazon Redshift to help GE gain new insights from the data it collects.",,,,,,,,https://aws.amazon.com/blogs/industries/aws-is-how-ge-renewable-energy-increases-wind-energy-production/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0239,GE Appliances,"In just two years, GE Appliances shifted to a DevOps approach, adopted a cloud-only policy, and achieved total visibility into its hybrid infrastructure by using AWS Management Tools and other AWS solutions. The company has been making appliances for more than 125 years.",,,,,,,,https://aws.amazon.com/solutions/case-studies/ge-appliances/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0240,GE Healthcare,"General Electric (GE) is migrating more than 9,000 workloads, including 300 disparate ERP systems, to AWS while reducing its datacenter footprint from 34 to four. The company is the world's Digital Industrial Company, transforming industry with software-defined machines and solutions that are connected, responsive, and predictive.",,,,,,,,https://aws.amazon.com/solutions/case-studies/general-electric/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0241,GE Power,"GE Power uses data analytics on AWS to help power plant customers save millions of dollars, stream 500,000 data records per second, and scale to support the ingestion of 20 billion sensor-data tags. The company provides utilities and power companies throughout the world with solutions for power generation.",,,,,,,,https://aws.amazon.com/solutions/case-studies/general-electric-power/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0242,GE Vernova,GE Vernova boosted compute performance with significant cost savings using AWS Graviton processors.,,,,,,,,https://aws.amazon.com/solutions/case-studies/ge-vernova-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0243,"GE, Goldman Sachs","At AWS re:Invent, Amazon Web Services, Inc. (AWS), an Amazon.com, Inc. company (NASDAQ: AMZN), today announced two new integrations that make it easier for customers to connect and analyze data across data stores without having to move data between services.",,,,,,,,https://press.aboutamazon.com/2022/11/aws-announces-two-new-capabilities-to-move-toward-a-zero-etl-future-on-aws?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0244,General Electric,"The company launched the GE Health Cloud in the United States to provide radiologists and other healthcare professionals with a single portal to access enterprise imaging applications (e.g., PACS) to view, process, and easily share images and patient cases.",,,,,,,,https://aws.amazon.com/solutions/case-studies/general-electric/,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0245,Gimba,"This case study highlights how Gimba, a leading African telecommunications company, uses AWS to modernize its infrastructure, improve customer experience, and drive innovation.",,,,,,,,https://aws.amazon.com/solutions/case-studies/gimba-case-study?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0246,Ginkgo Bioworks,Synthetic biology company Ginkgo Bioworks saved up to 90 percent on Amazon EBS storage.,,,,,,,,https://aws.amazon.com/solutions/case-studies/ginkgo-bioworks-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0247,Globe Telecom,"To enhance monitoring for its web and mobile services and continue modernizing on Amazon Web Services (AWS), Globe procured solutions from AWS Partner AppDynamics and began migrating to an AppDynamics software-as-a-service (SaaS) solution on AWS.",,,,,,,,https://aws.amazon.com/partners/success/globe-telecom-app-dynamics/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0248,GoDaddy,"Ketan Patel, Senior Director of Cloud Platform at GoDaddy, reveals how the company is optimizing its infrastructure through rightsizing and shifting workloads to AWS Graviton. Learn how GoDaddy achieved 40% compute cost savings and over 20% performance gains. Discover how AWS Professional Services and AWS Training enabled GoDaddy's teams to accelerate migration and deliver cost savings to reinvest in building new solutions for their customers.",,,,,,,,https://www.youtube.com/watch?v=-GzB95zQAjk,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0249,"Godaddy.com, Inc.","Best Practices to enable Agility in a Zero Trust Environment. Security is in GoDaddy's DNA and to enable it they practice the zero trust architecture. GoDaddy took approach that every org is separated and isolated. The Dev accounts are isolated by account boundary. Every account setup has it's own VPC with isolated subnet and private IPs. GoDaddy also does node rotation daily with updated Golden AMIs. GoDaddy rotates this from the EC2 instances to the whole EKS clusters. Because they update and rotate the Golden AMI images frequently, GoDaddy never have to patch. GoDaddy built an OSS tool that runs configuration scans, but also runs scans looking for GoDaddy standards. Another way to stop horizontal movement within the group is that they do not allow VPC peering. The Accounts would talk to each other via NAT Gateway. They can quickly isolate an Account to reduce the blast radius if that Account were to get compromised. GoDaddy governs the account creation through their Cloud Portal that performs Cloud Readiness Review. The process checks to see if the application follows best practices/standards. Once approved, the application team is onboard through the portal and baseline environment is created with security approved CloudFormation templates. This automation enables GoDaddy to make it easier to spin-up a new account with best practices in an isolated fashion with security built in.",,,,,,,,https://youtu.be/BgT_bDAejSQ,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0250,Gold Coast University Hospital,"AWS Public Sector Partner Datarwe worked with Gold Coast University Hospital to build an acute care medical research data platform on AWS powered by Intel. Using this solution, the hospital can collect and analyze a growing volume of medical device and patient data and gain better visibility into ICU bed supply and demand.",,,,,,,,https://aws.amazon.com/solutions/case-studies/gold-coast-health-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0251,Goldman Sachs,"Goldman Sachs builds on Amazon Web Services (AWS) to help advance its business and accelerate innovation for its customers. Using the cloud, Goldman Sachs has transformed the way it operates internallyâ€”from automated digital forensics to digital supply chain and procurementâ€”and externally by serving customers through innovations such as the Goldman Sachs Financial Cloud for Data, which is a suite of cloud-based data and analytics solutions for financial institutions that integrates with AWS Data Exchange. It helps financial institutions securely integrate data alongside Goldman Sachsâ€™s curated financial markets data to improve decision making.",,,,,,,,https://aws.amazon.com/solutions/case-studies/innovators/goldman-sachs/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0252,GovTech,"This case study explores how GovTech, a Singapore government agency, utilizes AWS to develop and deploy digital solutions that enhance citizen services and government operations.",,,,,,,,https://aws.amazon.com/solutions/case-studies/govtech?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0253,Grano,"Grano Oy has transformed its data landscape by building a modern data management system on AWS, unlocking insights and empowering smarter, more precise decisions.",,,,,,,,https://aws.amazon.com/solutions/case-studies/grano-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0254,Green Horse Games,"Green Horse Games was established in 2013 in Romania and has expanded strongly in the past years. Since 2021, the company has been part of Switzerland-based digital games and entertainment company, Miniclip. To meet rising demand, Green Horse Games consolidated its systems on Amazon Web Services (AWS).",,,,,,,,https://aws.amazon.com/solutions/case-studies/greenhorsegames-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0255,Greenway Health,"Greenway Health uses AWS HealthLake to offer a fully managed certified FHIR electronic health record solution for providers, helping them serve patients more efficiently while creating a foundation for innovation.",,,,,,,,https://aws.amazon.com/solutions/case-studies/latest-greenway-aws-healthlake-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0256,GSR Zug GmbH,"GSR provides liquidity by connecting to dozens of crypto exchanges around the world. One of the main requirements is fast and secure connectivity to these locations. GSR leverages multiple regions in the AWS Global Infrastructure for physical proximity to exchanges. For the connectivity, GSR uses AWS PrivateLink or AWS Private Connect. GSR also replicates the data across AWS regions using various technologies, including Aurora Global Databases.",,,,,,,,https://youtu.be/U1P8vZTEB-k,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0257,Gupshup,"Hitesh Sharma, principal infrastructure engineer at Gupshup, discusses how Gupshup uses AWS Enterprise support as it expands business rapidly.",,,,,,,,https://aws.amazon.com/solutions/case-studies/gupshup-es-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0258,Halodoc,healthcare company Halodoc improved its application performance and lowered costs by migrating to AWS Graviton3â€“based instances.,,,,,,,,https://aws.amazon.com/solutions/case-studies/halodoc-graviton3-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0259,Halodoc,"Halodoc migrated its geocoding and places to Amazon Location Service, improving performance, enhancing data security, and saving 88 percent on costs.",,,,,,,,https://aws.amazon.com/solutions/case-studies/halodoc-amazon-location-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0260,Hankook Corporation,Hankook deployed a remote work environment in 2 days and cut costs using Amazon WorkSpaces. The company also plans to expand remote operations using Amazon Connectâ€“powered call centers.,,,,,,,,https://aws.amazon.com/solutions/case-studies/Hankook-WorkSpaces-Connect-customer-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0261,Hanwha Qcells,"Hanwha Qcells used AWS IoT Core and Amazon EventBridge to develop a VPP platform in three months, enhancing renewable energy solutions in Korea.",,,,,,,,https://aws.amazon.com/solutions/case-studies/hanwha-qcells-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0262,Hapag-Lloyd,"After modernizing its solutions on AWS, container shipping line Hapag-Lloyd AG built a central logging system within its Web & Mobile team to improve observability, facilitating better business decisions.",,,,,,,,https://aws.amazon.com/solutions/case-studies/hapag-lloyd/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0263,Harbor Lab,"Harbor Lab works with shipowners, management companies, and charterers to streamline expense management of vessels travelling through ports around the world. The software-as-a-service provider is all-in on Amazon Web Services (AWS). According to chief technology officer Christina Kaskoura, AWS Managed Services makes technology easy, helping her and her team focus on solving complex business problems for Harbor Lab customers. With a digitized disbursement process that captures costs in real time, port operators can manage port-related expenses more efficiently and cost-effectively.",,,,,,,,https://aws.amazon.com/solutions/case-studies/harbor-lab-case-study?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0264,Harri,Human resources technology and hospitality industry solutions provider Harri gained 80 percent faster deployments and 90 percent faster scaling times by using Amazon EKS.,,,,,,,,https://aws.amazon.com/solutions/case-studies/harri-eks-case-study/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0265,HashiCorp,"With AWS Organizations, AWS CloudTrail, and AWS Config, HashiCorp can scale environments, monitor malicious activities, assess and manage resource configurations, unlock operational efficiencies, and simplify its cloud governance and compliance journey.This partnership streamlines hybrid and cloud deployments with solutions, providing customers with scalable, repeatable, and secure infrastructure strategies.",,,,,,,,https://www.youtube.com/watch?v=D9HtZ60z60Y,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0266,Haufe-Lexware,"Lexoffice overcomes performance and reliability issues by moving to the cloud, cutting response times by 50 percent and providing a platform to support rapid customer growth.",,,,,,,,https://aws.amazon.com/solutions/case-studies/haufe-lexware?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0267,HBO Inc.,"HBO Max's operational experience team has built a system which uses canaries to enable outside-in validation for their web application. What this means is that they can test and verify what customers are seeing, and capture the results of these tests, trigger alerts based on these results. These show up on a status app that internal stakeholder teams use. They can see the last and historical runs, and document and store the artifacts from each run for debugging purposes. The HBO operational experience team has focused on 3 core categories for these validations: customer journeys, configurations, and content quality. The application architecture consists of Cloudwatch Synthetics, S3, AppSync, Amplify and Lambda. The Cloudwatch Synthetics canaries are deployed and run on time-based triggers in multiple AWS regions globally. The Status App is hosted on Amplify, making requests to AppSync to fetch metric data from the canary runs. AppSync in turn triggers a Lambda handler that queries the canaries data from AWS Cloudwatch Synthetics and artifacts in S3 via the AWS SDK. The status web app then display the overall status and the associated artifacts (HAR files, screenshots, logs) for each of the canary runs. This makes it easy for ops and customer care teams to get visibility into both behavior and performance issues that customers are seeing in close to real time.",,,,,,,,https://youtu.be/D9qTotVJYss,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0268,Healthify,"This case study demonstrates how Healthify, a social determinants of health technology company, leverages AWS to provide a reliable and scalable platform for its customer support services.",,,,,,,,https://aws.amazon.com/solutions/case-studies/healthify-support-case-study?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0269,Hello Sunday Morning,Hear how an Australian nonprofit scales access to alcohol-related health support with its Daybreak app.,,,,,,,,https://aws.amazon.com/podcasts/40-fixthis/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0270,HelloFresh,"With the help of AWS consultation and expertise, HelloFresh has modernized its data capabilities, moving from its legacy database to a data lake where it can centralize storage of both structured and unstructured data. Using AWS, HelloFresh maintains a closer connection to changing customer preferences and the flexibility to quickly adapt its meal offerings and delivery services.",,,,,,,,https://aws.amazon.com/blogs/industries/aws-is-how-hellofresh-delivers-a-personalized-experience-to-millions-of-customers-around-the-world/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0271,Hey Jobs,"HeyJobs measures its success by linking the right employers with the right talent. To do this it needs the latest technology that allows its engineers to create new features and functionality. Using Amazon Web Services (AWS) Managed Services, says chief technology officer Boris Diebold, liberates his team from operations, security, and systems updates. With faster development cycles and easier compliance with regulations such as General Data Protection Regulation (GDPR), HeyJobs can focus on maintaining a competitive edge.",,,,,,,,https://aws.amazon.com/solutions/case-studies/heyjobs-data-protection/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0272,HeyJobs,HeyJobs aims to make job searching and recruitment more effective for candidates and employers.,,,,,,,,https://aws.amazon.com/solutions/case-studies/innovators/heyjobs/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0273,HHLA,"HHLA Sky GmbH, an autonomous drone and mobile robot developer, uses Amazon Web Services (AWS) to scale its solutions to customers globally. The ability to run its Internet of Things (IoT) software in secure environments is vital, says CEO Matthias Gronstedt. Hear how HHLA Skyâ€™s innovative technology combined with strong security across worldwide AWS Regions helps the business grow.",,,,,,,,https://aws.amazon.com/solutions/case-studies/iot-hhla-sky/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
aicase-x0274,Hilton,"Hilton, a leading global hospitality company with a portfolio of 17 world-class brands comprising nearly 5,900 properties in 114 countries and territories, moved its large-scale contact center to Amazon Connect.",,,,,,,,https://aws.amazon.com/solutions/case-studies/hilton/?did=cr_card&trk=cr_card,AWS,"v2, v3",Not truly AI,Excluded
